Configuration	Term	J	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Leading percentages	Reference
"3s2.3p2"	"3P"	"0"	""	"0.000"	""	"0"	"                                           "	"L5815"
"3s2.3p2"	"3P"	"1"	""	"77.115"	""	""	"                                           "	"L5815"
"3s2.3p2"	"3P"	"2"	""	"223.157"	""	""	"                                           "	"L5815"
"3s2.3p2"	"1D"	"2"	""	"6298.850"	""	""	"                                           "	"L5815"
"3s2.3p2"	"1S"	"0"	""	"15394.370"	""	""	"                                           "	"L5815"
"3s.3p3"	"5S*"	"2"	""	"33326.053"	""	""	" 100                                       "	"L5815"
"3s2.3p.4s"	"3P*"	"0"	""	"39683.163"	""	""	"  99                                       "	"L5815"
"3s2.3p.4s"	"3P*"	"1"	""	"39760.285"	""	""	"  98                  :     1  3p.4s  1P*  "	"L5815"
"3s2.3p.4s"	"3P*"	"2"	""	"39955.053"	""	""	"  99                                       "	"L5815"
"3s2.3p.4s"	"1P*"	"1"	""	"40991.884"	""	""	"  97                  :     1  3p.3d  1P*  "	"L5815"
"3s.3p3"	"3D*"	"1"	""	"45276.188"	""	""	"  56                  :    39  3p.nd  3D*  "	"L5815"
"3s.3p3"	"3D*"	"2"	""	"45293.629"	""	""	"  56                  :    39  3p.nd  3D*  "	"L5815"
"3s.3p3"	"3D*"	"3"	""	"45321.848"	""	""	"  56                  :    39  3p.nd  3D*  "	"L5815"
"3s2.3p.4p"	"1P"	"1"	""	"47284.061"	""	""	"                                           "	"L5815"
"3s2.3p.3d"	"1D*"	"2"	""	"47351.554"	""	""	"  92                  :     4  3s.3p3 1D*  "	"L5815"
"3s2.3p.4p"	"3D"	"1"	""	"48020.074"	""	""	"                                           "	"L5815"
"3s2.3p.4p"	"3D"	"2"	""	"48102.323"	""	""	"                                           "	"L5815"
"3s2.3p.4p"	"3D"	"3"	""	"48264.292"	""	""	"                                           "	"L5815"
"3s2.3p.4p"	"3P"	"0"	""	"49028.294"	""	""	"                                           "	"L5815"
"3s2.3p.4p"	"3P"	"1"	""	"49060.601"	""	""	"                                           "	"L5815"
"3s2.3p.4p"	"3P"	"2"	""	"49188.617"	""	""	"                                           "	"L5815"
"3s2.3p.4p"	"3S"	"1"	""	"49399.670"	""	""	"                                           "	"L5815"
"3s2.3p.3d"	"3F*"	"2"	""	"49850.830"	""	""	"  98                  :     1  3p.3d  3P*  "	"L5815"
"3s2.3p.3d"	"3F*"	"3"	""	"49933.775"	""	""	"  99                  :     1  3p.4d  3F*  "	"L5815"
"3s2.3p.3d"	"3F*"	"4"	""	"50054.80"	""	""	"  99                  :     1  3p.4d  3F*  "	"L5815"
"3s2.3p.4p"	"1D"	"2"	""	"50189.389"	""	""	"                                           "	"L5815"
"3s2.3p.3d"	"3P*"	"2"	""	"50499.838"	""	""	"  81                  :    16  3s.3p3 3P*  "	"L5815"
"3s2.3p.3d"	"3P*"	"1"	""	"50566.397"	""	""	"  81                  :    16  3s.3p3 3P*  "	"L5815"
"3s2.3p.3d"	"3P*"	"0"	""	"50602.44"	""	""	"  81                  :    16  3s.3p3 3P*  "	"L5815"
"3s2.3p.4p"	"1S"	"0"	""	"51612.012"	""	""	"                                           "	"L5815"
"3s2.3p.3d"	"1F*"	"3"	""	"53362.24"	""	""	"  96                  :     3  3p.4d  1F*  "	"L5815"
"3s2.3p.3d"	"1P*"	"1"	""	"53387.334"	""	""	"  92                  :     3  3p.5s  1P*  "	"L5815"
"3s2.3p.3d"	"3D*"	"1"	""	"54185.264"	""	""	"  80  3p.nd           :    14  3s.3p3 3D*  "	"L5815"
"3s2.3p.3d"	"3D*"	"2"	""	"54205.090"	""	""	"  80  3p.nd           :    14  3s.3p3 3D*  "	"L5815"
"3s2.3p.3d"	"3D*"	"3"	""	"54257.582"	""	""	"  80  3p.nd           :    14  3s.3p3 3D*  "	"L5815"
"3s2.3p.5s"	"3P*"	"0"	""	"54245.020"	""	""	"  99                  :     1  3p.3d  3P*  "	"L5815"
"3s2.3p.5s"	"3P*"	"1"	""	"54313.818"	""	""	"  92                  :     6  3p.5s  1P*  "	"L5815"
"3s2.3p.5s"	"3P*"	"2"	""	"54528.220"	""	""	"  98                  :     1  3p.4d  3P*  "	"L5815"
"3s2.3p.5s"	"1P*"	"1"	""	"54871.031"	""	""	"  89                  :     6  3p.5s  3P*  "	"L5815"
"3s2.3p.4d"	"1D*"	"2"	""	"56503.346"	""	""	"  86                  :     4  3p.3d  1D*  "	"L5815"
"3s2.3p.4d"	"3P*"	"2"	""	"56690.903"	""	""	"  50                  :    26  3s.3p3 3P*  "	"L5815"
"3s2.3p.4d"	"3P*"	"1"	""	"56700.25"	""	""	"  51                  :    27  3s.3p3 3P*  "	"L5815"
"3s2.3p.4d"	"3P*"	"0"	""	"56733.38"	""	""	"  50                  :    27  3s.3p3 3P*  "	"L5815"
"3s2.3p.5p"	"1P"	"1"	""	"56780.427"	""	""	"                                           "	"L5815"
"3s2.3p.5p"	"3D"	"1"	""	"56978.256"	""	""	"                                           "	"L5815"
"3s2.3p.5p"	"3D"	"2"	""	"57017.496"	""	""	"                                           "	"L5815"
"3s2.3p.5p"	"3D"	"3"	""	"57198.027"	""	""	"                                           "	"L5815"
"3s2.3p.5p"	"3P"	"0"	""	"57295.881"	""	""	"                                           "	"L5815"
"3s2.3p.5p"	"3P"	"1"	""	"57328.789"	""	""	"                                           "	"L5815"
"3s2.3p.5p"	"3P"	"2"	""	"57468.239"	""	""	"                                           "	"L5815"
"3s2.3p.4d"	"3F*"	"2"	""	"57372.297"	""	""	"  96                  :     2  3p.4d  1D*  "	"L5815"
"3s2.3p.4d"	"3F*"	"3"	""	"57450.580"	""	""	"  98                  :     1  3p.3d  3F*  "	"L5815"
"3s2.3p.4d"	"3F*"	"4"	""	"57583.657"	""	""	"  98                  :     1  3p.3d  3F*  "	"L5815"
"3s2.3p.5p"	"3S"	"1"	""	"57541.918"	""	""	"                                           "	"L5815"
"3s2.3p.5p"	"1D"	"2"	""	"57798.072"	""	""	"                                           "	"L5815"
"3s2.3p.5p"	"1S"	"0"	""	"58311.659"	""	""	"                                           "	"L5815"
"3s2.3p.(2P*<1/2>).4f"	"2[5/2]"	"3"	""	"58774.368"	""	""	"                                           "	"L5815"
"3s2.3p.(2P*<1/2>).4f"	"2[5/2]"	"2"	""	"58775.451"	""	""	"                                           "	"L5815"
"3s2.3p.(2P*<1/2>).4f"	"2[7/2]"	"3"	""	"58786.860"	""	""	"                                           "	"L5815"
"3s2.3p.(2P*<1/2>).4f"	"2[7/2]"	"4"	""	"58788.880"	""	""	"                                           "	"L5815"
